author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Russell Turpin,Programming Data Structures in Logic.,"University of Texas, Austin",1992,,,,,,,,,,,,,,,,,,,
Frank Olken,Random Sampling from Databases,University of California at Berkeley,1993,,,LBL Technical Report,,,,,LBL-32883,,,,,,,,,,,
Guido Frisch,Using open source software to develop E-business applications for medium- and small-sized enterprises.,"Bratislava, Univ.",2009,1-151,https://d-nb.info/996716548,,,,,,,,,,,,,,978-3-8300-4753-7,,,
Laura Bonzano,Cortical neuronal populations and micro electrode arrays.,"University of Genoa, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0023322,,,,,,,,,,,,,,,,,
Stefano Di Carlo,Infrastructures and algorithms for testable and dependable systems-on-a-chip.,"Polytechnic University of Turin, Italy",2003,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0002181,,,,,,,,,,,,,,,,,
Stefano Cresci,Harnessing the Social Sensing Revolution: Challenges and Opportunities.,"University of Pisa, Italy",2018,,"https://etd.adm.unipi.it/theses/available/etd-04272018-111548/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20017649",,,,,,,,,,,,,,,,,
Fabio Carrara,Deep Learning for Image Classification and Retrieval: Analysis and Solutions to Current Limitations.,"University of Pisa, Italy",2019,,"https://etd.adm.unipi.it/theses/available/etd-04172019-123023/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20017865",,,,,,,,,,,,,,,,,
Zhuoqi Cheng,Development and evaluation of hand-held robotic technology for safe and successful peripheral intravenous catheterization on pediatric patients.,"University of Genoa, Italy",2018,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20028261, https://hdl.handle.net/11567/930619",,,,,,,,,,,,,,,,,
Kourosh Darvish,A Hierarchical Architecture for Flexible Human-Robot Collaboration.,"University of Genoa, Italy",2019,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20028442, https://hdl.handle.net/11567/943848",,,,,,,,,,,,,,,,,
Piero Borga,Active opto-magnetic biosensing system on chip.,"Polytechnic University of Milan, Italy",2022,,https://hdl.handle.net/10589/188712,,,,,,,,,,,,,,,,,
Francesca Lunardini,Functional assessment methods amd EMG-based interventions for children with dystonia.,"Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/122622,,,,,,,,,,,,,,,,,
Roberto Mura,Robust harmonic control for disturbance rejection: methods and applications.,"Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/117514,,,,,,,,,,,,,,,,,
Valentina Bartalesi Lenzi,An ontology for narratives.,"University of Pisa, Italy",2017,,https://etd.adm.unipi.it/theses/available/etd-12312016-143000/,,,,,,,,,,,,,,,,,
Federico Nardi,Electrical characterization and physical modeling of unipolar/bipolar resistive switching materials.,"Polytechnic University of Milan, Italy",2012,,https://hdl.handle.net/10589/66181,,,,,,,,,,,,,,,,,
Franco Cicirelli,Service and agent computing paradigms for the development of distributed systems.,"University of Calabria, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0027345,,,,,,,,,,,,,,,,,
Veronica Penza,Study of computer vision algorithms to enhance the surgeon's capabilities in robotic minimally invasive surgery.,"Polytechnic University of Milan, Italy",2017,,https://hdl.handle.net/10589/133119,,,,,,,,,,,,,,,,,
Davide Tamborini,Time measurement instrumentation for Single-Photon Counting applications.,"Polytechnic University of Milan, Italy",2015,,https://hdl.handle.net/10589/113622,,,,,,,,,,,,,,,,,
Cristiano Rocco Marra,"time-switched frequency-modulation for low-offset-drift, wide range, fully integrated 3-axis mems accelerometers.","Polytechnic University of Milan, Italy",2019,,https://hdl.handle.net/10589/145763,,,,,,,,,,,,,,,,,
Filippo Bonchi,Abstract Semantics by Observable Contexts.,"University of Pisa, Italy",2008,,"https://etd.adm.unipi.it/theses/available/etd-05302008-112836/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20014819",,,,,,,,,,,,,,,,,
Monica Cusenza,Fractal analysis of the EEG and clinical applications.,"University of Trieste, Italy",2012,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD13090104, https://hdl.handle.net/10077/7394",,,,,,,,,,,,,,,,,
Alessia Amelio,Pattern extraction from data with application to image processing.,"University of Calabria, Italy",2012,,https://doi.org/10.13126/UNICAL.IT/DOTTORATI/1171,,,,,,,,,,,,,,,,,
Said Daoudagh,The GDPR Compliance Through Access Control Systems.,"University of Pisa, Italy",2021,,https://etd.adm.unipi.it/theses/available/etd-07112021-124810/,,,,,,,,,,,,,,,,,
Emilia Ambrosini,Cycling induced by electrical stimulation.,"Polytechnic University of Milan, Italy",2010,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0774252,,,,,,,,,,,,,,,,,
Felice Dell'Orletta,Improving the accuracy of Natural Language Dependency Parsing.,"University of Pisa, Italy",2008,,"https://etd.adm.unipi.it/theses/available/etd-10202008-150701/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20014911",,,,,,,,,,,,,,,,,
Antonio Filieri,Model based verification and adaptation of software systems @runtime.,"Polytechnic University of Milan, Italy",2013,,https://hdl.handle.net/10589/74321,,,,,,,,,,,,,,,,,
Marco Bessi,A methodology to improve the energy efficiency of software.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/89386,,,,,,,,,,,,,,,,,
Simona Bernardi 0001,Building stochastic Petri net models for the verification of complex software systems.,"University of Turin, Italy",2003,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0005390,,,,,,,,,,,,,,,,,
Matteo Abrate,Data Cartography: atlases and maps for non-geographical data.,"University of Pisa, Italy",2014,,"https://etd.adm.unipi.it/theses/available/etd-06052014-233519/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BVE0700276, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20016740",,,,,,,,,,,,,,,,,
Riccardo Desimini,Hybrid systems : computational approaches to verification and control.,"Polytechnic University of Milan, Italy",2021,,https://hdl.handle.net/10589/174004,,,,,,,,,,,,,,,,,
Luca Cremona,"Online power modeling, monitoring and optimization for mobile computing platforms.","Polytechnic University of Milan, Italy",2021,,https://hdl.handle.net/10589/180158,,,,,,,,,,,,,,,,,
Carmine Miccoli,Investigation of the emerging physical mechanisms limiting the reliability of nanoscale Flash memories.,"Polytechnic University of Milan, Italy",2013,,https://hdl.handle.net/10589/74542,,,,,,,,,,,,,,,,,
Marco Cristani,Statistical generative modelling of audio-video sequences for scene analysis.,"University of Verona, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0021227,,,,,,,,,,,,,,,,,
Daniele Dell'Aglio,On unified stream reasoning.,"Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/122892,,,,,,,,,,,,,,,,,
Massimo Cossentino,A methodology for the design of multi-agents systems.,"University of Palermo, Italy",2001,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0004870,,,,,,,,,,,,,,,,,
Ivan Ciofi,Metodi e strumentazione per la caratterizzazione di interconnessioni VLSI.,"University of Pisa, Italy",2001,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0004370,,,,,,,,,,,,,,,,,
Matteo Seregni,Tumor tracking in particle therapy : development of dedicated methods and experimental testing.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/89826,,,,,,,,,,,,,,,,,
Stefano Bonacina,VHD/Histocolor.,"Polytechnic University of Milan, Italy",2004,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0007158,,,,,,,,,,,,,,,,,
Mario G. C. A. Cimino,Clustering in non-metric spaces.,"University of Pisa, Italy",2007,,"https://etd.adm.unipi.it/theses/available/etd-07062007-185828/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20014552",,,,,,,,,,,,,,,,,
Daniele Andreotti,A Grid architectural approach applied for backward compatibility to a production system for events simulation.,"University of Ferrara, Italy",2009,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20011178, https://hdl.handle.net/11392/2388701",,,,,,,,,,,,,,,,,
Marco Benvenuto,I sistemi informativi per la gestione integrata ed ottimizzata delle risorse nel campo delle malattie cardiovascolari.,"University of Pisa, Italy",2008,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20014718,,,,,,,,,,,,,,,,,
Filippo Bergamasco,High-accuracy camera calibration and scene acquisition.,"Ca' Foscari University of Venice, Italy",2014,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD16022572, https://hdl.handle.net/10579/5602",,,,,,,,,,,,,,,,,
Alessio Pagani,"Algorithms and methods for the design and development of intelligent, context aware and sustainable mobility services.","Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/137550,,,,,,,,,,,,,,,,,
Giulia Bruno,Multifunctional nanostructures for intracellular delivery and sensing in electrogenic cells.,"University of Genoa, Italy",2020,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20028693, https://hdl.handle.net/11567/1000593",,,,,,,,,,,,,,,,,
Gianpaolo D'Amico,Distributed multimedia digital libraries.,"University of Florence, Italy",2005,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0017153,,,,,,,,,,,,,,,,,
Giorgio Cellere,Issues for non-volatile memory reliability.,"University of Padua, Italy",2002,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0007520,,,,,,,,,,,,,,,,,
Diego Caratelli,"Dispositivi ed antenne planari per applicazioni satellitari, cellulari e wireless LAN.","Sapienza University of Rome, Italy",2004,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0005889,,,,,,,,,,,,,,,,,
Luigi Carratino,Resource Efficient Large-Scale Machine Learning.,"University of Genoa, Italy",2020,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20028699, https://hdl.handle.net/11567/1001813",,,,,,,,,,,,,,,,,
Cristian Brotto,On reputation evaluation in 2.0 communities.,"University of Insubria, Italy",2011,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20013683, https://hdl.handle.net/11383/2090207",,,,,,,,,,,,,,,,,
Sonia Cenceschi,Speech analysis for automatic prosody recognition.,"Polytechnic University of Milan, Italy",2019,,https://hdl.handle.net/10589/144841,,,,,,,,,,,,,,,,,
Giulio Caravagna,Formal Modeling and Simulation of Biological Systems with Delays.,"University of Pisa, Italy",2011,,"https://etd.adm.unipi.it/theses/available/etd-06152011-113458/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0799119, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20015940",,,,,,,,,,,,,,,,,
Carlo D'Eramo,On the exploitation of uncertainty to improve Bellman updates and exploration in Reinforcement Learning.,"Polytechnic University of Milan, Italy",2019,,https://hdl.handle.net/10589/144849,,,,,,,,,,,,,,,,,
Giulia Bassani,Wearable energy harvesting for motion tracking and health assessment.,"Sant'Anna School of Advanced Studies, Italy",2017,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20027300,,,,,,,,,,,,,,,,,
Alberto Averna,Evaluating the impact of intracortical microstimulation on distant cortical brain regions for neuroprosthetic applications.,"University of Genoa, Italy",2019,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20028321, https://hdl.handle.net/11567/939615",,,,,,,,,,,,,,,,,
Giovanni Quattrocchi,Fast and fine-grained elastic resource provisioning for modern software systems.,"Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/137770,,,,,,,,,,,,,,,,,
Nicola Carapellese,BaseBand unit hotelling architectures for fixed-mobile converged next-generation access and aggregation networks.,"Polytechnic University of Milan, Italy",2015,,https://hdl.handle.net/10589/107263,,,,,,,,,,,,,,,,,
Sara Corfini,Composition-oriented Web Service Discovery.,"University of Pisa, Italy",2008,,"https://etd.adm.unipi.it/theses/available/etd-05122008-094413/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20014794",,,,,,,,,,,,,,,,,
Marco Bencivenni,A Web portal to simplify the scientific communities in using Grid and Cloud resources.,"University of Ferrara, Italy",2014,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20011783, https://hdl.handle.net/11392/2389059",,,,,,,,,,,,,,,,,
Giuseppe Cabras,Advanced component analysis techniques for signal decomposition and their applications to audio restoration and volcanic seismology.,"University of Udine, Italy",2011,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0793890, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD15020574, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD18003462, https://hdl.handle.net/11390/1132348, https://hdl.handle.net/10990/343",,,,,,,,,,,,,,,,,
Francesco Trovò,A cognitive fault detection and diagnosis system for sensor networks.,"Polytechnic University of Milan, Italy",2015,,https://hdl.handle.net/10589/108825,,,,,,,,,,,,,,,,,
Chiara Cimino,A new paradigm to combine model-and data-based digital twins in smart manufacturing.,"Polytechnic University of Milan, Italy",2021,,https://hdl.handle.net/10589/179698,,,,,,,,,,,,,,,,,
Seyed Hossein Siadat,A soft approach for QoS-aware service adaptation.,"Polytechnic University of Milan, Italy",2012,,https://hdl.handle.net/10589/56708,,,,,,,,,,,,,,,,,
Nikolaos Andrikos,Clocking techniques for the reduction of EMI in digital circuits.,"Polytechnic University of Turin, Italy",2011,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0771974,,,,,,,,,,,,,,,,,
Serena Fiocchi,"Exposure assessment of electromagnetic fields on children, newborns and fetuses due to RFID devices.","Polytechnic University of Milan, Italy",2013,,https://hdl.handle.net/10589/74322,,,,,,,,,,,,,,,,,
Eros Montin,A novel image registration strategy for oncological pediatric brain images fusion.,"Polytechnic University of Milan, Italy",2015,,https://hdl.handle.net/10589/111524,,,,,,,,,,,,,,,,,
Beatrice De Maria,Asymmetry of cardiac and sympathetic baroreflex in healthy subjects and in amyotrophic lateral sclerosis patients.,"Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/143686,,,,,,,,,,,,,,,,,
Daniele de Rigo,Study of a collaborative repository of semantic metadata and models for regional environmental datasets' multivariate transformations.,"Polytechnic University of Milan, Italy",2015,,https://hdl.handle.net/10589/101044,,,,,,,,,,,,,,,,,
Sara Moccia,Supervised tissue classification in optical images: towards new applications of surgical data science.,"Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/140371,,,,,,,,,,,,,,,,,
Paolo Costa,SPCAST semi-probabilistic content-based routing for dynamic networks.,"Polytechnic University of Milan, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0025964,,,,,,,,,,,,,,,,,
Luca Ciampi,Deep Learning Techniques for Visual Counting.,"University of Pisa, Italy",2022,,https://etd.adm.unipi.it/theses/available/etd-04262022-163702/,,,,,,,,,,,,,,,,,
Emanuele Mason,Beyond full rationality: modeling tradeoff dynamics in multi-objective water management.,"Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/137080,,,,,,,,,,,,,,,,,
Monica Vitali,Measuring and improving energy efficiency of a data center in a self adaptive context.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/89864,,,,,,,,,,,,,,,,,
Alessandro Redondi,Energy-aware visual analysis for wireless multimedia sensor networks.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/89802,,,,,,,,,,,,,,,,,
Alessio De Cian,Implementation and testing of a full Maxwell 3D simulation code based on the cell method.,"University of Genoa, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0023454,,,,,,,,,,,,,,,,,
Gabriele Costa 0001,On the Security of Software Systems and Services.,"University of Pisa, Italy",2011,,"https://etd.adm.unipi.it/theses/available/etd-12022011-163450/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0799348, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20016063",,,,,,,,,,,,,,,,,
Eleonora Borgia,Routing in multi-hop Ad Hoc networks: an Experimental Approach.,"University of Pisa, Italy",2010,,"https://etd.adm.unipi.it/theses/available/etd-05052010-122245/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0029044",,,,,,,,,,,,,,,,,
Alessandro Baroni 0001,Segregation aware data mining.,"University of Pisa, Italy",2017,,"https://etd.adm.unipi.it/theses/available/etd-10122017-195900/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20017523",,,,,,,,,,,,,,,,,
Giuseppe Ottaviano,Space-Efficient Data Structures for Collections of Textual Data.,"University of Pisa, Italy",2013,,https://etd.adm.unipi.it/theses/available/etd-05232013-000551/,,,,,,,,,,,,,,,,,
Lorenzo Combi,Radio-relaying over optical fiber for cloud radio access networks.,"Polytechnic University of Milan, Italy",2019,,https://hdl.handle.net/10589/144462,,,,,,,,,,,,,,,,,
Michele Coscia,Multidimensional Network analysis.,"University of Pisa, Italy",2012,,"https://etd.adm.unipi.it/theses/available/etd-05232012-181321/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0801307",,,,,,,,,,,,,,,,,
Saleem Shahid,Design and implementation of microwave and terahertz material characterization mehtods.,"Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/137645,,,,,,,,,,,,,,,,,
Renza Campagni,Data mining models for student databases.,"University of Florence, Italy",2012,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BVE0607074,,,,,,,,,,,,,,,,,
Luca Iozzia,Cardiorespiratory parameters monitoring by the use of contactless technology.,"Polytechnic University of Milan, Italy",2017,,https://hdl.handle.net/10589/136860,,,,,,,,,,,,,,,,,
Pasquale Bove,Methodologies & formalisms for modeling macroscopic biological problems.,"University of Pisa, Italy",2016,,"https://etd.adm.unipi.it/theses/available/etd-09172016-124649/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20017286",,,,,,,,,,,,,,,,,
Michele Corrà,ISFET bias and read-out electronics for pH measurements.,"University of Genoa, Italy",2003,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0008116,,,,,,,,,,,,,,,,,
Giacoma Valentina Monreale,Adequacy Issues in Reactive Systems: Barbed Semantics for Mobile Ambients.,"University of Pisa, Italy",2011,,https://etd.adm.unipi.it/theses/available/etd-05282011-172623/,,,,,,,,,,,,,,,,,
Luca Allodi,Risk-Based Vulnerability Management. Exploiting the economic nature of the attacker to build sound and measurable vulnerability mitigation strategies.,"University of Trento, Italy",2015,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD16025314,,,,,,,,,,,,,,,,,
Diego Puppin,A Search Engine Architecture Based on Collection Selection.,"University of Pisa, Italy",2010,,https://etd.adm.unipi.it/theses/available/etd-05132010-103407/,,,,,,,,,,,,,,,,,
Paolo Cintia,Knowledge Discovery through Mobility Data Integration.,"University of Pisa, Italy",2015,,"https://etd.adm.unipi.it/theses/available/etd-11222015-190539/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20017085",,,,,,,,,,,,,,,,,
Andrea Cozza,Railways EMC.,"Polytechnic University of Turin, Italy",2005,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0018703,,,,,,,,,,,,,,,,,
Antonio Virdis,Algorithms for energy efficiency in cellular networks.,"University of Pisa, Italy",2015,,https://etd.adm.unipi.it/theses/available/etd-04262015-180901/,,,,,,,,,,,,,,,,,
Atul Kumar 0005,Synchronization and performance evaluation of future wireless cellular system based on the use of new multi-carrier transmission techniques.,"Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/143822,,,,,,,,,,,,,,,,,
Claudio Menghi,Dealing with incompleteness in automata based model checking.,"Polytechnic University of Milan, Italy",2015,,https://hdl.handle.net/10589/114509,,,,,,,,,,,,,,,,,
Luca Denti,Algorithms for analyzing genetic variability from Next-Generation Sequencing data.,"University of Milan, Italy",2020,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20012786, https://hdl.handle.net/10281/263551",,,,,,,,,,,,,,,,,
Daniela Anghileri,Management of multi-purpose reservoirs under climate change: impact assessment and adaptation strategies.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/88690,,,,,,,,,,,,,,,,,
Marco Ponza,Algorithms for Knowledge and Information Extraction in Text with Wikipedia.,"University of Pisa, Italy",2019,,https://etd.adm.unipi.it/theses/available/etd-02192019-141256/,,,,,,,,,,,,,,,,,
Antonio Valerio Miceli Barone,Syntax-based machine translation using dependency grammars and discriminative machine learning.,"University of Pisa, Italy",2015,,"https://etd.adm.unipi.it/theses/available/etd-05252015-122546/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BVE0699651, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20016985",,,,,,,,,,,,,,,,,
Cecilia Signorelli,Innovative method for non-invasive pivot shift test quantification.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/89830,,,,,,,,,,,,,,,,,
Francesco Ceschel,A New Design For the Support of Collaborative Care Work in Nursing Homes.,"University of Trento, Italy",2018,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD18026073,,,,,,,,,,,,,,,,,
Hesham Abdelazim Ismail Mohamed,"Cloud Computing Security, An Intrusion Detection System for Cloud Computing Systems.","University of Pisa, Italy",2013,,https://etd.adm.unipi.it/theses/available/etd-05222013-230300/,,,,,,,,,,,,,,,,,
Francesca Righetti,The 6TiSCH Architecture for the Industrial Internet of Things: analysis and improvements.,"University of Pisa, Italy",2021,,https://etd.adm.unipi.it/theses/available/etd-05102021-123430/,,,,,,,,,,,,,,,,,
Osama Elgarhy,Resource allocation for mobile networks.,"Polytechnic University of Milan, Italy",2020,,https://hdl.handle.net/10589/152132,,,,,,,,,,,,,,,,,
Nicola Ciocchini,"Switching, reliability and novel functionalities in phase change devices.","Polytechnic University of Milan, Italy",2015,,https://hdl.handle.net/10589/102947,,,,,,,,,,,,,,,,,
Giacomo Laghi,MEMS magnetometers: from application specifications to the development and characterization of a prototype beyond the state of the art.,"Polytechnic University of Milan, Italy",2017,,https://hdl.handle.net/10589/132109,,,,,,,,,,,,,,,,,
Simone del Cesta,"Design of a versatile, fully-integrated sensor interface in a 0.18 um cmos technology.","University of Pisa, Italy",2019,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20017867,,,,,,,,,,,,,,,,,
Ilaria Giannetti,Energy Efficient BitTorrent for Green P2P File Sharing.,"University of Pisa, Italy",2012,,https://etd.adm.unipi.it/theses/available/etd-04192012-102912/,,,,,,,,,,,,,,,,,
Ilaria Liorni,Electromagnetic fields exposure assessment in the early life: from prenatal stage to infancy.,"Polytechnic University of Milan, Italy",2015,,https://hdl.handle.net/10589/113641,,,,,,,,,,,,,,,,,
Gianluca Correndo,Using contextualization techniques for enhancing clinical guidelines dissemination to heterogeneous hospital information systems.,"University of Turin, Italy",2005,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0018508,,,,,,,,,,,,,,,,,
Nicola Cottini,Ultra-Low-Power Vision Systems for Wireless Applications.,"University of Trento, Italy",2012,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD12026384,,,,,,,,,,,,,,,,,
Simone Zenzaro,On Modularity In Abstract State Machines.,"University of Pisa, Italy",2016,,https://etd.adm.unipi.it/theses/available/etd-05252016-110716/,,,,,,,,,,,,,,,,,
Gabriele Ciarpi,"Design and Experimental Verification of IC Techniques for Harsh Environments: Automotive, Aerospace and HEP case studies.","University of Pisa, Italy",2020,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20018070,,,,,,,,,,,,,,,,,
Andrea Abba,Methodology and advanced electronic architectures for high performance digital processing.,"Polytechnic University of Milan, Italy",2010,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0775070,,,,,,,,,,,,,,,,,
Federico Errica,Bayesian Deep Learning for Graphs.,"University of Pisa, Italy",2022,,https://etd.adm.unipi.it/theses/available/etd-02012022-194256/,,,,,,,,,,,,,,,,,
Marco Cannici,Learning efficient and effective representations for event-based cameras.,"Polytechnic University of Milan, Italy",2022,,https://hdl.handle.net/10589/187047,,,,,,,,,,,,,,,,,
Davide Meroni,Discrimination and characterization of healthy and tumor tissues by electrical impedance spectroscopy and tomography.,"Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/139683,,,,,,,,,,,,,,,,,
Giovanni Fattori,Image guided management of uncertainties in scanned particle therapy.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/89542,,,,,,,,,,,,,,,,,
Lucio Davide Spano,A Model-Based Approach for Gesture Interfaces.,"University of Pisa, Italy",2013,,https://etd.adm.unipi.it/theses/available/etd-11182013-092326/,,,,,,,,,,,,,,,,,
Gustavo Malagoni Buiatt,Modeling and simulation of power PiN diodes within SPICE.,"Polytechnic University of Turin, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0026688,,,,,,,,,,,,,,,,,
Paolo Alborno,Automated Analysis of Synchronization in Human Full-body Expressive Movement.,"University of Genoa, Italy",2018,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20028097, https://hdl.handle.net/11567/929097",,,,,,,,,,,,,,,,,
Augusto Luis Ballardini,Matching heterogeneous sensing pipelines to digital maps for ego-vehicle localization.,"University of Milan, Italy",2017,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD17014887, https://hdl.handle.net/10281/148691",,,,,,,,,,,,,,,,,
Francesco Marconi,Formal verification of timed properties for data-intensive applications.,"Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/141260,,,,,,,,,,,,,,,,,
Francesco Venco,Modeling and querying genomic data.,"Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/115522,,,,,,,,,,,,,,,,,
Gabriele Cocco,"FSCL: Homogeneous programming, scheduling and execution on heterogeneous platforms.","University of Pisa, Italy",2015,,"https://etd.adm.unipi.it/theses/available/etd-05282015-100206/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20016982",,,,,,,,,,,,,,,,,
Gaia Ceddia,Computational methods for data-driven predictions and understanding of biological interactions.,"Polytechnic University of Milan, Italy",2021,,https://hdl.handle.net/10589/177064,,,,,,,,,,,,,,,,,
Giovanni Cabiddu,Trusted Computing Platforms and Applications.,"Polytechnic University of Turin, Italy",2014,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BVE0655787, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD17056220, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD18040644, https://hdl.handle.net/11583/2538294",,,,,,,,,,,,,,,,,
Giorgio Marcias,Content-Aware Quad Meshing.,"University of Pisa, Italy",2017,,https://etd.adm.unipi.it/theses/available/etd-03242017-173216/,,,,,,,,,,,,,,,,,
Mattia Brambilla,Sensor-assisted cooperative localization and communication in multi-agent networks.,"Polytechnic University of Milan, Italy",2021,,https://hdl.handle.net/10589/170700,,,,,,,,,,,,,,,,,
Michela Chiappalone,Acquisition and processing of electrophysiological signals.,"University of Genoa, Italy",2003,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0002786,,,,,,,,,,,,,,,,,
Elenio Avolio,Sistema integrato di telerilevamento DIAL a Co2 e modellistica atmosferica per l'allerta precoce di incendi boschivi.,"University of Rome Tor Vergata, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0024075,,,,,,,,,,,,,,,,,
