author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Ankur Sharma 0002,Snapshot: friend or foe of data management - on optimizing transaction processing in database and blockchain systems.,"Saarland University, Saarbrücken, Germany",2020,,"https://publikationen.sulb.uni-saarland.de/handle/20.500.11880/29329, https://nbn-resolving.org/urn:nbn:de:bsz:291--ds-311177, https://d-nb.info/1212853245",,,,,,,,,,,,,,,,,
Christoph Matthias Nelke,Wind Noise Reduction: Signal Processing Concepts.,"RWTH Aachen University, Germany",2016,1-164,"http://publications.rwth-aachen.de/record/660497, https://nbn-resolving.org/urn:nbn:de:hbz:82-rwth-2016-054035, https://d-nb.info/1107201500, https://d-nb.info/1130402754",,,,,,,,,,,,,,978-3-95886-107-7,,,
Stefan M. Rüger,"Zur Theorie künstlicher, neuronaler Netze.",Berlin Institute of Technology,1997,1-209,https://d-nb.info/949973254,,,,,,,,,,,,,,3-8171-1542-3,,,
Wolfgang Vermeiren,Zur Zustandsermittlung bei ausgewählten landwirtschaftlichen und wasserwirtschaftlichen Prozessen.,"Dresden University of Technology, Germany",1987,,https://d-nb.info/900434503,,,,,,,,,,,,,,,,,
Jürgen Suppan-Borowka,Leistungs- und Anforderungsanalyse der Kommunikationsprofile lokaler Netze in Büro- und Fertigungsumgebungen.,"RWTH Aachen University, Germany",1986,1-147,https://d-nb.info/871322706,,,,,,,,,,,,,,,,,
Hannes Riechmann,"Exploiting code-modulating, Visually-Evoked Potentials for fast and flexible control via Brain-Computer Interfaces.",Bielefeld University,2014,,"http://pub.uni-bielefeld.de/publication/2780284, https://nbn-resolving.org/urn:nbn:de:hbz:361-27802841, https://d-nb.info/1077605323",,,,,,,,,,,,,,,,,
Anne Antonia Scheidler,Methode zur Erschließung von Wissen aus Datenmustern in Supply-Chain-Datenbanken.,"Technical University of Dortmund, Germany",2017,1-250,https://d-nb.info/1139908480,Cuvillier Verlag,,,,,,,,,,,,,978-3-7369-9614-4,,,
Greg Breinholt,Icon evaluation by pattern masking.,"ETH Zurich, Zürich, Switzerland",1998,1-127,https://d-nb.info/954931718,Shaker,,,,,,,,,,,,,978-3-8265-4104-9,,,
Antanios Farah,Entwicklung eines CAD-Systems für den Digitalfilterentwurf.,"Technische Hochschule Ilmenau, Germany",1987,,https://d-nb.info/881122467,,,,,,,,,,,,,,,,,
Boris Reichel,"Verteilte Auswertung attributierter Graphersetzungssysteme zur Verarbeitung massiver, graphartig strukturierter Daten.","Technical University Munich, Germany",1999,1-171,https://d-nb.info/956312187,Utz,,,,,,,,,,,,,978-3-89675-504-9,,,
Robert Boesecke,Techniken der dynamischen Bestrahlungsplanung für die Therapie mit hochenergetischen Photonen.,"University of Heidelberg, Germany",1987,,https://d-nb.info/881076422,,,,,,,,,,,,,,,,,
Efe Bozkir,Towards Everyday Virtual Reality through Eye Tracking.,"University of Tübingen, Germany",2022,,"https://publikationen.uni-tuebingen.de/xmlui/handle/10900/125488/, http://hdl.handle.net/10900/125488, https://nbn-resolving.org/urn:nbn:de:bsz:21-dspace-1254880, https://d-nb.info/1253854750",,,,,,,,,,,,,,,,,
Habtom W. Ressom,Dynamic system and virtual sensor modeling using neural networks = Modellierung dynamischer Systeme und virtueller Sensoren mit neuronalen Netzen.,"Kaiserslautern University of Technology, Germany",1999,1-132,https://d-nb.info/957439040,VDI-Verlag,,,,,,,,,,,,,978-3-18-377108-0,,,
Jürgen Karges,Integratives Entscheidungsmodell der Wasserversorgung.,"Darmstadt University of Technology, Germany",1982,1-284,https://d-nb.info/840369166,,,,,,,,,,,,,,,,,
Michael Henneböhl,Ein Referenzmodell für die Retained IT-Organisation für deutsche Energieversorgungsunternehmen.,"Brandenburg University of Technology, Cottbus, Germany",2018,1-245,https://d-nb.info/1182004385,,,,,,,,,,,,,,,,,
Paul Fritsche,Umgebungsmodellierung mit Radarsensoren und gestörten Sichtbedingungen.,"University of Hanover, Hannover, Germany",2019,,"https://www.repo.uni-hannover.de/handle/123456789/7307, https://nbn-resolving.org/urn:nbn:de:101:1-2020021115135112587619, https://d-nb.info/120445857X",,,,,,,,,,,,,,,,,
Andreas Beck 0002,Modellbasierte Energiekostenanalyse automatisierter Systeme.,University of Stuttgart,2015,1-136,"https://nbn-resolving.org/urn:nbn:de:101:1-201505242499, https://d-nb.info/1071342266, https://d-nb.info/1071529706",Shaker,,,,,,,,,,,,,978-3-8440-3689-3,,,
Fritz Wengler,Spieltheoretische Ansätze zur Lösung multikriterieller Entscheidungsmodelle.,"Saarland University, Germany",1989,1-182,https://d-nb.info/891618872,Deutsch,,,,,,,,,,,,,978-3-8171-1156-5,,,
Roman Engeler,Optimale Kombination von Leistungseigenschaften in der Rindviehzucht.,ETH Zurich,1996,,https://d-nb.info/949840319,,,,,,,,,,,,,,,,,
Charalambos Tassakos,"pdvPool-System: das Konzept einer parallelen, objekt-orientierten, realzeitgeeigneten Architektur.","RWTH Aachen University, Germany",1989,1-265,https://d-nb.info/901023221,,,,,,,,,,,,,,,,,
Raphael Polig,Text Analytics on Reconfigurable Platforms.,Technical University Munich,2015,,"https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20151204-1276259-1-6, https://d-nb.info/108029936X",,,,,,,,,,,,,,,,,
Utz Rödig,Firewall-Architekturen für Multimedia-Applikationen.,"Darmstadt University of Technology, Germany",2002,1-188,"http://elib.tu-darmstadt.de/diss/000276, https://nbn-resolving.org/urn:nbn:de:tuda-tuprints-2767, https://d-nb.info/966017943, https://d-nb.info/967377285",,,,,,,,,,,,,,,,,
Tobias Heuer,Scalable High-Quality Graph and Hypergraph Partitioning.,"Karlsruhe Institute of Technology, Germany",2022,,"https://nbn-resolving.org/urn:nbn:de:101:1-2022120703593560496325, https://d-nb.info/127482351X",,,,,,,,,,,,,,,,,
Erwin Drixler,Analyse der Form und Lage von Objekten im Raum.,"Karlsruhe Institute of Technology, Germany",1993,1-73,https://d-nb.info/941982912,Beck,,,,,,,,,,,,,978-3-7696-9454-3,,,
Harry Sauer,Vergleichende Untersuchungen zu Lösungsverfahren für nichtlineare Probleme der Vektoroptimierung.,"Technische Hochschule Ilmenau, Germany",1985,,https://d-nb.info/860675009,,,,,,,,,,,,,,,,,
Heinrich Krebs,Entwurf und quantitative Beschreibung diversitärer Software.,"University of Stuttgart, Germany",1988,1-13,https://d-nb.info/881270318,Verlag TÜV Rheinland,,,,,,,,,,,,,978-3-88585-538-5,,,
Winfried Himmel,Experimentelle Untersuchungen über die Anwendung eines mathematisch-analytischen Verfahrens zur Beurteilung des Herzfrequenzverhaltens bei rampenförmiger Belastungssteigerung.,"Leipzig University, Germany",1984,,https://d-nb.info/850397499,,,,,,,,,,,,,,,,,
Isabel Laux,Agile methods in software development - essays on impacts for teams.,"Ludwig Maximilian University of Munich, Germany",2021,1-232,https://d-nb.info/1239081286,,,,,,,,,,,,,,,,,
Julian Ohrt,Seamless integration of location-linked services for smartphones.,"Technical University of Hamburg, Germany",2017,,"http://tubdok.tub.tuhh.de/handle/11420/1435, https://nbn-resolving.org/urn:nbn:de:gbv:830-88216556, https://d-nb.info/1142250407",,,,,,,,,,,,,,,,,
Michael Heister,Eine Methodik zur rechnergestützten Analyse und Synthese von Mehrgrössenregelsystemen.,"Gesamthochschule Wuppertal, Germany",1982,,https://d-nb.info/830759719,,,,,,,,,,,,,,,,,
Wolfgang Apolinarski,System support for security and privacy in pervasive computing.,"University of Duisburg-Essen, Germany",2016,1-191,https://d-nb.info/1102944378,Logos Verlag,,,,,,,,,,,,,978-3-8325-4269-6,,,
